Talk_ID,public_url,headline,description,duration,published,tags,views,speaker_1,speaker1_occupation,occupation_categorized,occupation_broader
565,https://www.ted.com/talks/kevin_surace_fixing_drywall_to_heal_the_planet,Eco-friendly drywall,"Kevin Surace suggests we rethink basic construction materials -- such as the familiar wallboard -- to reduce the huge carbon footprint generated by the manufacturing and construction of our buildings. He introduces EcoRock, a clean, recyclable and energy-efficient drywall created by his team at Serious Materials.",0:03:19,6/9/09,"demo,green,architecture,design,invention,business,technology",363996,Kevin Surace,"Engineer, executive",Engineer,Engineer
141,https://www.ted.com/talks/bill_stone_explores_the_earth_and_space,I'm going to the moon. Who's with me?,"Bill Stone, a maverick cave explorer who has plumbed Earth's deepest abysses, discusses his efforts to mine lunar ice for space fuel and to build an autonomous robot for studying Jupiter's moon Europa.",0:17:43,6/27/07,"mining,Planets,Moon,NASA,adventure,exploration,space,energy,technology",1898449,Bill Stone,"Explorer, inventor and outer space dreamer",Engineer,Engineer
1401,https://www.ted.com/talks/donald_sadoway_the_missing_link_to_renewable_energy,The missing link to renewable energy,"What's the key to using alternative energy, like solar and wind? Storage -- so we can have power on tap even when the sun's not out and the wind's not blowing. In this accessible, inspiring talk, Donald Sadoway takes to the blackboard to show us the future of large-scale batteries that store renewable energy. As he says: ""We need to think about the problem differently. We need to think big. We need to think cheap.""",0:15:15,3/26/12,"alternative energy,electricity,energy,invention,technology",1865259,Donald Sadoway,Materials engineer,Engineer,Engineer
1705,https://www.ted.com/talks/katherine_kuchenbecker_the_technology_of_touch,The technology of touch,"As we move through the world, we have an innate sense of how things feel -- the sensations they produce on our skin and how our bodies orient to them. Can technology leverage this? In this fun, fascinating TED-Ed lesson, learn about the field of haptics, and how it could change everything from the way we shop online to how dentists learn the telltale feel of a cavity.",0:06:28,3/29/13,"TEDYouth,engineering,technology",649358,Katherine Kuchenbecker,Mechanical engineer,Engineer,Engineer
1146,https://www.ted.com/talks/ed_boyden,A light switch for neurons,"Ed Boyden shows how, by inserting genes for light-sensitive proteins into brain cells, he can selectively activate or de-activate specific neurons with fiber-optic implants. With this unprecedented level of control, he's managed to cure mice of analogs of PTSD and certain forms of blindness. On the horizon: neural prosthetics. Session host Juan Enriquez leads a brief post-talk Q&A.",0:18:24,5/15/11,"neuroscience,brain,science,technology",972328,Ed Boyden,Neuroengineer,Engineer,Engineer
2557,https://www.ted.com/talks/ed_boyden_baby_diapers_inspired_this_new_way_to_study_the_brain,A new way to study the brain's invisible secrets,"Neuroengineer Ed Boyden wants to know how the tiny biomolecules in our brains generate emotions, thoughts and feelings -- and he wants to find the molecular changes that lead to disorders like epilepsy and Alzheimer's. Rather than magnify these invisible structures with a microscope, he wondered: What if we physically enlarge them and make them easier to see? Learn how the same polymers used to make baby diapers swell could be a key to better understanding our brains.",0:13:15,7/21/16,"chemistry,biomechanics,nanoscale,biotech,potential,materials,neuroscience,medical research,biology,life,brain,innovation,illness,science,technology,humanity",1338019,Ed Boyden,Neuroengineer,Engineer,Engineer
2303,https://www.ted.com/talks/salvatore_iaconesi_what_happened_when_i_open_sourced_my_brain_cancer,What happened when I open-sourced my brain cancer,"When artist Salvatore Iaconesi was diagnosed with brain cancer, he refused to be a passive patient -- which, he points out, means ""one who waits."" So he hacked his brain scans, posted them online, and invited a global community to pitch in on a ""cure."" This sometimes meant medical advice, and it sometimes meant art, music, emotional support -- from more than half a million people.",0:10:52,7/16/15,"open-source,Internet,art,TED Fellows,health,cancer,brain,empathy,science,community",1143864,Salvatore Iaconesi,Open-source engineer and artist,Engineer,Engineer
1976,https://www.ted.com/talks/jeremy_kasdin_the_flower_shaped_starshade_that_might_help_us_detect_earth_like_planets,The flower-shaped starshade that might help us detect Earth-like planets,"Astronomers believe that every star in the galaxy has a planet, one fifth of which might harbor life. Only we haven't seen any of them -- yet. Jeremy Kasdin and his team are looking to change that with the design and engineering of an extraordinary piece of equipment: a flower petal-shaped ""starshade"" positioned 50,000 km from a telescope to enable imaging of planets about distant stars. It is, he says, the ""coolest possible science.""",0:06:38,4/17/14,"Planets,telescopes,astronomy,space,science,technology",1311488,Jeremy Kasdin,Planet finder,Engineer,Engineer
2274,https://www.ted.com/talks/tony_fadell_the_first_secret_of_design_is_noticing,The first secret of design is ... noticing,"As human beings, we get used to ""the way things are"" really fast. But for designers, the way things are is an opportunity ... Could things be better? How? In this funny, breezy talk, the man behind the iPod and the Nest thermostat shares some of his tips for noticing -- and driving -- change.",0:16:41,6/3/15,"design,product design,technology",2268912,Tony Fadell,Product creator,Engineer,Engineer
2504,https://www.ted.com/talks/laura_indolfi_good_news_in_the_fight_against_pancreatic_cancer,Good news in the fight against pancreatic cancer,"Anyone who has lost a loved one to pancreatic cancer knows the devastating speed with which it can affect an otherwise healthy person. TED Fellow and biomedical entrepreneur Laura Indolfi is developing a revolutionary way to treat this complex and lethal disease: a drug delivery device that acts as a cage at the site of a tumor, preventing it from spreading and delivering medicine only where it's needed. ""We are hoping that one day we can make pancreatic cancer a curable disease,"" she says.",0:06:03,5/17/16,"big problems,potential,TED Fellows,health,medicine,health care,design,product design,medical research,disease,cancer,innovation,illness,science,invention,entrepreneur,future",1249294,Laura Indolfi,Biomedical entrepreneur,Entrepreneur,Business Leader
1824,https://www.ted.com/talks/andras_forgacs_leather_and_meat_without_killing_animals,Leather and meat without killing animals,"By 2050, it will take 100 billion land animals to provide the world's population with meat, dairy, eggs and leather goods. Maintaining this herd will take a huge, potentially unsustainable toll on the planet. What if there were a different way? In this eye-opening talk, tissue engineering advocate Andras Forgacs argues that biofabricating meat and leather is a civilized way to move past killing animals for hamburgers and handbags.",0:09:02,9/19/13,"synthetic biology,molecular biology,bioethics,conservation,global issues,animals,agriculture,activism,food,materials,fashion,medical research,innovation,environment,science,sustainability,future,social change",1209123,Andras Forgacs,Bioprinting entrepreneur,Entrepreneur,Business Leader
2626,https://www.ted.com/talks/bettina_warburg_how_the_blockchain_will_radically_transform_the_economy,How the blockchain will radically transform the economy,"Say hello to the decentralized economy -- the blockchain is about to change everything. In this lucid explainer of the complex (and confusing) technology, Bettina Warburg describes how the blockchain will eliminate the need for centralized institutions like banks or governments to facilitate trade, evolving age-old models of commerce and finance into something far more interesting: a distributed, transparent, autonomous system for exchanging value.",0:14:57,11/15/16,"wikipedia,trust,blockchain,security,software,Internet,privacy,economics,computers,data,innovation,business,technology,future,collaboration,society",3093676,Bettina Warburg,Blockchain entrepreneur and researcher,Entrepreneur,Business Leader
1030,https://www.ted.com/talks/halla_tomasdottir,A feminine response to Iceland's financial crash,"Halla Tá³masdá³ttir managed to take her company Audur Capital through the eye of the financial storm in Iceland by applying 5 traditionally ""feminine"" values to financial services. At TEDWomen, she talks about these values and the importance of balance.",0:09:45,12/8/10,"women in business,women,feminism,politics,business",615131,Halla Tómasdóttir,Change catalyst,Entrepreneur,Business Leader
2621,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office,It's time for women to run for office,"With warmth and wit, Halla Tá³masdá³ttir shares how she overcame media bias, changed the tone of the political debate and surprised her entire nation when she ran for president of Iceland -- inspiring the next generation of leaders along the way. ""What we see, we can be,"" she says. ""It matters that women run.""",0:19:18,11/4/16,"television,government,media,women,gender equality,democracy,motivation,politics,culture,inequality,social change",935036,Halla Tómasdóttir,Change catalyst,Entrepreneur,Business Leader
201,https://www.ted.com/talks/lakshmi_pratury_on_letter_writing,The lost art of letter-writing,"Lakshmi Pratury remembers the lost art of letter-writing and shares a series of notes her father wrote to her before he died. Her short but heartfelt talk may inspire you to set pen to paper, too.",0:04:09,12/20/07,"writing,relationships,parenting,communication,community",585354,Lakshmi Pratury,Connector,Entrepreneur,Business Leader
